text,label
Scientists confirm a new water purification method after a peer-reviewed study.,real
Government publishes the annual budget document on its official portal.,real
Researchers report promising results in a controlled laboratory experiment.,real
Experts explain that the claim needs more evidence before it can be accepted.,real
सरकार ने आधिकारिक वेबसाइट पर नई योजना की जानकारी जारी की।,real
वैज्ञानिकों ने शोध के बाद नए परिणाम प्रकाशित किए।,real
સરકારે સત્તાવાર વેબસાઇટ પર નવી યોજના જાહેર કરી.,real
વૈજ્ઞાનિકોએ અભ્યાસ બાદ નવા પરિણામો પ્રકાશિત કર્યા.,real
BREAKING: Share this message with everyone or your phone will stop working tonight!,fake
A secret source says every citizen will receive free gold tomorrow. Forward now!,fake
Scientists say drinking one spoon of salt water instantly cures every disease.,fake
URGENT!!! The internet will be permanently shut down at midnight. Tell everyone.,fake
ब्रेकिंग: यह संदेश 20 लोगों को भेजने पर आपको सरकारी इनाम मिलेगा!,fake
"आज रात इंटरनेट हमेशा के लिए बंद होने वाला है, तुरंत सबको भेजें!",fake
આ મેસેજ 10 લોકોને મોકલો નહીં તો તમારું બેંક એકાઉન્ટ બંધ થઈ જશે!,fake
"આજે મધરાતે આખું ઇન્ટરનેટ બંધ થશે, તરત જ બધાને શેર કરો!",fake
