text,label
Scientists publish a peer reviewed study showing a new water purification method.,real
Government publishes a new policy on its official website.,real
Researchers report results from a controlled laboratory experiment.,real
The Reserve Bank of India likely intervened in the foreign exchange market to support the rupee.,real
Reuters reported that the Indian rupee gained slightly after RBI intervention.,real
A Chinese court sentenced the Evergrande founder to life in prison.,real
Samsung raised some advanced chipmaking service prices by up to 15 percent for new orders.,real
A Reuters Ipsos poll found 33 percent approval and 64 percent disapproval for Trump.,real
The World Health Organization published updated public health guidance.,real
The government announced the scheme through an official notification.,real
वैज्ञानिकों ने एक अध्ययन के बाद नए परिणाम प्रकाशित किए।,real
सरकार ने आधिकारिक वेबसाइट पर नई योजना की जानकारी जारी की।,real
आरबीआई ने रुपये पर दबाव कम करने के लिए विदेशी मुद्रा बाजार में हस्तक्षेप किया।,real
चीनी अदालत ने एवरग्रांडे के संस्थापक को उम्रकैद की सजा सुनाई।,real
सरकार ने आधिकारिक अधिसूचना में नई नीति जारी की।,real
वैज्ञानिकों ने नियंत्रित प्रयोग के परिणाम प्रकाशित किए।,real
વૈજ્ઞાનિકોએ અભ્યાસ બાદ નવા પરિણામો પ્રકાશિત કર્યા.,real
સરકારે સત્તાવાર વેબસાઇટ પર નવી યોજના જાહેર કરી.,real
RBI એ રૂપિયાને ટેકો આપવા માટે વિદેશી વિનિમય બજારમાં હસ્તક્ષેપ કર્યો હોવાની માહિતી આવી.,real
સત્તાવાર અહેવાલ મુજબ નવી નીતિ જાહેર કરવામાં આવી.,real
Scientists say a study proves that everyone will become rich overnight.,fake
Forward this secret message or your bank account will be closed tonight.,fake
Government will give every citizen one crore rupees tomorrow with no application.,fake
A miracle drink is guaranteed to cure every disease instantly.,fake
Breaking news says the internet will be permanently shut down worldwide tomorrow.,fake
The RBI has announced that all Indian bank accounts will be frozen tomorrow.,fake
Reuters confirmed that every Indian citizen will receive free gold next week.,fake
A social media post claims the moon will disappear for seven days next month.,fake
A viral message says 100 percent of people will receive a government lottery prize.,fake
Scientists discovered a pill that makes people live forever, according to an anonymous source.,fake
The government secretly cancelled all examinations without any official notice.,fake
A post says all ATMs in India will stop working forever from midnight.,fake
एक वायरल संदेश कहता है कि कल से सभी बैंक खाते बंद हो जाएंगे।,fake
सरकार हर नागरिक को बिना आवेदन के एक करोड़ रुपये देगी।,fake
एक गुप्त संदेश के अनुसार इंटरनेट कल पूरी दुनिया में बंद हो जाएगा।,fake
वैज्ञानिकों ने ऐसी दवा खोजी है जिससे इंसान हमेशा जीवित रहेगा।,fake
एक वायरल पोस्ट कहती है कि सभी एटीएम हमेशा के लिए बंद हो जाएंगे।,fake
આવતીકાલથી બધા બેંક ખાતા બંધ થઈ જશે એવો વાયરલ મેસેજ ખોટો દાવો કરે છે.,fake
સરકાર દરેક નાગરિકને અરજી વગર એક કરોડ રૂપિયા આપશે એવો મેસેજ ખોટો છે.,fake
ઇન્ટરનેટ આવતીકાલે આખી દુનિયામાં કાયમ માટે બંધ થશે એવો દાવો ખોટો છે.,fake
વૈજ્ઞાનિકોએ દરેક બીમારીનો તરત ઇલાજ કરતી ચમત્કારી દવા શોધી છે એવો દાવો ખોટો છે.,fake
The moon will disappear for seven days and scientists have confirmed it.,fake
A message says the RBI has permanently banned all cash withdrawals in India.,fake
A post claims Samsung has stopped making all chips worldwide.,fake
A viral message claims the US Treasury has cancelled all government debt.,fake
Experts say every stock market investment is guaranteed to double in one week.,fake
This secret government message promises guaranteed free laptops to everyone who forwards it.,fake
